ISIN,Symbol,Name,Series,Instrument_ID,Symbol_NSE,Name_NSE,Symbol_BSE,Name_BSE,Series_BSE,BSE_Code
DUMMY0000090,ICICININAV,ICICINV20 INAV,EQ,10058.0,ICICININAV,ICICINV20 INAV,,,,
DUMMY0000091,ICICIBINAV,ICICIBANKP INAV,EQ,10059.0,ICICIBINAV,ICICIBANKP INAV,,,,
DUMMY0000092,ICISENINAV,ICICISENSX INAV,EQ,10189.0,ICISENINAV,ICICISENSX INAV,,,,
DUMMY0000093,IDFNIFINAV,IDFNIFTYET INAV,EQ,10062.0,IDFNIFINAV,IDFNIFTYET INAV,,,,
DUMMY0000094,IBMFNIINAV,IBMFNIFTY INAV,EQ,10066.0,IBMFNIINAV,IBMFNIFTY INAV,,,,
DUMMY0000095,IVZINNINAV,IVZINNIFTY INAV,EQ,10071.0,IVZINNINAV,IVZINNIFTY INAV,,,,
DUMMY0000096,KOTAKBINAV,KOTAKBKETF INAV,EQ,10075.0,KOTAKBINAV,KOTAKBKETF INAV,,,,
DUMMY0000097,KOTAKVINAV,KOTAKNV20 INAV,EQ,10076.0,KOTAKVINAV,KOTAKNV20 INAV,,,,
DUMMY0000098,KOTAKPINAV,KOTAKPSUBK INAV,EQ,10077.0,KOTAKPINAV,KOTAKPSUBK INAV,,,,
DUMMY0000099,KOTAKIINAV,KOTAKIT INAV,EQ,10078.0,KOTAKIINAV,KOTAKIT INAV,,,,
DUMMY0000100,KOTAKMINAV,KOTAKMID50 INAV,EQ,10079.0,KOTAKMINAV,KOTAKMID50 INAV,,,,
DUMMY0000101,KOTAKAINAV,KOTAKALPHA INAV,EQ,10080.0,KOTAKAINAV,KOTAKALPHA INAV,,,,
DUMMY0000102,KOTAKNINAV,KOTAKNIFTY INAV,EQ,10081.0,KOTAKNINAV,KOTAKNIFTY INAV,,,,
DUMMY0000103,KOTAKLINAV,KOTAKLOVOL INAV,EQ,10082.0,KOTAKLINAV,KOTAKLOVOL INAV,,,,
DUMMY0000104,LICNFNINAV,LICNFNHGP INAV,EQ,10085.0,LICNFNINAV,LICNFNHGP INAV,,,,
DUMMY0000105,LICN50INAV,LICNETFN50 INAV,EQ,10098.0,LICN50INAV,LICNETFN50 INAV,,,,
DUMMY0000106,LICNGSINAV,LICNETFGSC INAV,EQ,10101.0,LICNGSINAV,LICNETFGSC INAV,,,,
DUMMY0000107,LICNETINAV,LICNETFSEN INAV,EQ,10104.0,LICNETINAV,LICNETFSEN INAV,,,,
DUMMY0000108,MAHKTEINAV,MAHKTECH INAV,EQ,10105.0,MAHKTEINAV,MAHKTECH INAV,,,,
DUMMY0000109,MAN50EINAV,MAN50ETF INAV,EQ,10106.0,MAN50EINAV,MAN50ETF INAV,,,,
DUMMY0000110,MAFSETINAV,MAFSETF INAV,EQ,10108.0,MAFSETINAV,MAFSETF INAV,,,,
DUMMY0000111,MAMFGEINAV,MAMFGETF INAV,EQ,10109.0,MAMFGEINAV,MAMFGETF INAV,,,,
DUMMY0000112,MAM150INAV,MAM150ETF INAV,EQ,10110.0,MAM150INAV,MAM150ETF INAV,,,,
DUMMY0000113,MANXT5INAV,MANXT50 INAV,EQ,10117.0,MANXT5INAV,MANXT50 INAV,,,,
DUMMY0000114,MAFANGINAV,MAFANG INAV,EQ,10118.0,MAFANGINAV,MAFANG INAV,,,,
DUMMY0000115,MASPTOINAV,MASPTOP50 INAV,EQ,10119.0,MASPTOINAV,MASPTOP50 INAV,,,,
DUMMY0000116,MAESGEINAV,MAESGETF INAV,EQ,10120.0,MAESGEINAV,MAESGETF INAV,,,,
DUMMY0000117,MOGSECINAV,MOGSEC INAV,EQ,10121.0,MOGSECINAV,MOGSEC INAV,,,,
DUMMY0000118,MOM100INAV,MOM100 INAV,EQ,10122.0,MOM100INAV,MOM100 INAV,,,,
DUMMY0000119,MOM50INAV,MOM50 INAV,EQ,10127.0,MOM50INAV,MOM50 INAV,,,,
DUMMY0000120,MONQ50INAV,MONQ50 INAV,EQ,10128.0,MONQ50INAV,MONQ50 INAV,,,,
DUMMY0000121,MOMOMEINAV,MOMOMENTUM INAV,EQ,10129.0,MOMOMEINAV,MOMOMENTUM INAV,,,,
DUMMY0000122,MON100INAV,MON100 INAV,EQ,10130.0,MON100INAV,MON100 INAV,,,,
DUMMY0000123,MOLOWVINAV,MOLOWVOL INAV,EQ,10131.0,MOLOWVINAV,MOLOWVOL INAV,,,,
DUMMY0000124,LIQUIDINAV,LIQUIDBEES INAV,EQ,10132.0,LIQUIDINAV,LIQUIDBEES INAV,,,,
DUMMY0000125,LTGILTINAV,LTGILTBEES INAV,EQ,10133.0,LTGILTINAV,LTGILTBEES INAV,,,,
DUMMY0000126,MID150INAV,MID150BEES INAV,EQ,10134.0,MID150INAV,MID150BEES INAV,,,,
DUMMY0000127,ITBEESINAV,ITBEES INAV,EQ,10141.0,ITBEESINAV,ITBEES INAV,,,,
DUMMY0000128,SDL24BINAV,SDL24BEES INAV,EQ,10142.0,SDL24BINAV,SDL24BEES INAV,,,,
DUMMY0000129,SDL26BINAV,SDL26BEES INAV,EQ,10147.0,SDL26BINAV,SDL26BEES INAV,,,,
DUMMY0000130,GILT5YINAV,GILT5YBEES INAV,EQ,10148.0,GILT5YINAV,GILT5YBEES INAV,,,,
