symbol,company,isin,exchange,sector
BNKPSUINAV,MIRAEAMC - BNKPSUINAV,DUMMY0000244,NSE,Unknown
METALINAV,MIRAEAMC - METALINAV,DUMMY0000246,NSE,Unknown
GRWWDFINAV,GROWWAMC - GRWWDFINAV,DUMMY0000247,NSE,Unknown
VAL30IINAV,ICICIPRAMC - VAL30IINAV,DUMMY0000248,NSE,Unknown
GROWWGINAV,GROWWAMC - GROWWGINAV,DUMMY0000249,NSE,Unknown
EMLTMQINAV,EDELAMC - EMLTMQINAV,DUMMY0000250,NSE,Unknown
LIQPLSINAV,MIRAEAMC - LIQPLSINAV,DUMMY0000251,NSE,Unknown
CONSUMINAV,MIRAEAMC - CONSUMINAV,DUMMY0000252,NSE,Unknown
ECAPININAV,EDELAMC - ECAPININAV,DUMMY0000253,NSE,Unknown
NX30ADINAV,DSPAMC - NX30ADINAV,DUMMY0000254,NSE,Unknown
GRRAILINAV,GROWWAMC - GRRAILINAV,DUMMY0000255,NSE,Unknown
UNGOLDINAV,UNIONAMC - UNGOLDINAV,DUMMY0000256,NSE,Unknown
MSCIININAV,MSCIINDIA - MSCIININAV,DUMMY0000257,NSE,Unknown
GRN200INAV,GROWWAMC - GRN200INAV,DUMMY0000258,NSE,Unknown
NIF100INAV,KOTAKMAMC - NIF100INAV,DUMMY0000259,NSE,Unknown
AONETOINAV,AONEAMC - AONETOINAV,DUMMY0000260,NSE,Unknown
MOCAPIINAV,MOTILALAMC - MOCAPIINAV,DUMMY0000261,NSE,Unknown
GLD360INAV,360ONEAMC - GLD360INAV,DUMMY0000262,NSE,Unknown
SELIPOINAV,MIRAEAMC - SELIPOINAV,DUMMY0000263,NSE,Unknown
EQU200INAV,MIRAEAMC - EQU200INAV,DUMMY0000264,NSE,Unknown
CASHIEINAV,ICICIPRAMC - CASHIEINAV,DUMMY0000265,NSE,Unknown
AXISVAINAV,AXISAMC - AXISVAINAV,DUMMY0000266,NSE,Unknown
SILCASINAV,ZERODHAAMC - SILCASINAV,DUMMY0000267,NSE,Unknown
SBIBPBINAV,SBIAMC - SBIBPBINAV,DUMMY0000268,NSE,Unknown
MID15INAV,KOTAKMAMC - MID15INAV,DUMMY0000269,NSE,Unknown
AONELIINAV,AONEAMC - AONELIINAV,DUMMY0000270,NSE,Unknown
SIL360INAV,360ONEAMC - SIL360INAV,DUMMY0000271,NSE,Unknown
EVIETFINAV,ICICIPRAMC - EVIETFINAV,DUMMY0000272,NSE,Unknown
GROWMOINAV,GROWWAMC - GROWMOINAV,DUMMY0000273,NSE,Unknown
MON50EINAV,MOTILALAMC - MON50EINAV,DUMMY0000274,NSE,Unknown
MONT50INAV,MOTILALAMC - MONT50INAV,DUMMY0000275,NSE,Unknown
EQUA50INAV,MIRAEAMC - EQUA50INAV,DUMMY0000276,NSE,Unknown
MINFRAINAV,MOTILALAMC - MINFRAINAV,DUMMY0000277,NSE,Unknown
GROWSLINAV,GROWWAMC - GROWSLINAV,DUMMY0000278,NSE,Unknown
AONENFINAV,AONEAMC - AONENFINAV,DUMMY0000279,NSE,Unknown
MOMGFINAV,MOTILALAMC - MOMGFINAV,DUMMY0000280,NSE,Unknown
MOPSEINAV,MOTILALAMC - MOPSE,DUMMY0000281,NSE,Unknown
MOTOURINAV,MOTILALAMC - MOTOURINAV,DUMMY0000282,NSE,Unknown
SNXT30INAV,NIPPONAMC - SNXT30INAV,DUMMY0000283,NSE,Unknown
GROWLOINAV,GROWWAMC - GROWLOINAV,DUMMY0000284,NSE,Unknown
TOPETFINAV,ICICIPRAMC - TOPETFINAV,DUMMY0000285,NSE,Unknown
MOMIDMINAV,MOTILALAMC - MOMIDMINAV,DUMMY0000286,NSE,Unknown
GROWWNINAV,GROWWAMC - GROWWNINAV,DUMMY0000287,NSE,Unknown
INTERNINAV,MIRAEAMC - INTERNINAV,DUMMY0000288,NSE,Unknown
MOALPHINAV,MOTILALAMC - MOALPHINAV,DUMMY0000289,NSE,Unknown
QUALITINAV,KOTAKMAMC - QUALITINAV,DUMMY0000290,NSE,Unknown
GRONIFINAV,GROWWAMC - GRONIFINAV,DUMMY0000291,NSE,Unknown
GROWWPINAV,GROWWAMC - GROWWPINAV,DUMMY0000292,NSE,Unknown
MOGOLDINAV,MOTILALAMC - MOGOLDINAV,DUMMY0000293,NSE,Unknown
MOSILVINAV,MOTILALAMC - MOSILVINAV,DUMMY0000294,NSE,Unknown
LTCASEINAV,ZERODHAAMC - LTCASEINAV,DUMMY0000295,NSE,Unknown
GRWN50INAV,GROWWAMC - GRWN50INAV,DUMMY0000296,NSE,Unknown
MGBEESINAV,NIPPONAMC - MGBEESINAV,DUMMY0000297,NSE,Unknown
ELM250INAV,EDELAMC - ELM250INAV,DUMMY0000298,NSE,Unknown
AOGOLDINAV,AONEAMC - AOGOLDINAV,DUMMY0000299,NSE,Unknown
SML100INAV,ZERODHAAMC - SML100INAV,DUMMY0000300,NSE,Unknown
RANKAQUA,RANK INDUSTRIES LTD,DUMMY10887,NSE,Unknown
DOONVALLEY,DOON VALLEY RICE LTD,DUMMY9099,NSE,Unknown
MAHALEAS,MAHADEV CORP (I) LTD.,DUMMY9181,NSE,Unknown
SONALCOSM,SONAL COSMETICS LTD,DUMMY9297,NSE,Unknown
TMTINDIA,T M T (INDIA) LTD,DUMMY9320,NSE,Unknown
HIMGRANITE,HIMALAYA GRANITES LTD,DUMMY9383,NSE,Unknown
MPAGROFERT,M P AGRO FERTILISERS LTD,DUMMY9408,NSE,Unknown
NIYATILEAS,NIYATI INDUSTRIES LTD,DUMMY9410,NSE,Unknown
PINDLTD,P I INDUSTRIES LTD,DUMMY9416,NSE,Unknown
USHDEVINT,USHDEV INTERNATIONAL LTD,DUMMY9448,NSE,Unknown
VBDESAIFIN,V B DESAI FINANCIAL SERV,DUMMY9450,NSE,Unknown
STRAUSIND,STRAUS INDS & EXPORTS LTD,DUMMY9465,NSE,Unknown
NATPEROXID,NATIONAL PEROXIDE LTD,DUMMY9466,NSE,Unknown
11NSETEST,11NSETEST,DUMMYSAN001,NSE,Unknown
G1NSETEST,G1NSETEST,DUMMYSAN002,NSE,Unknown
N1NSETEST,N1NSETEST,DUMMYSAN003,NSE,Unknown
V1NSETEST,V1NSETEST,DUMMYSAN004,NSE,Unknown
011NSETEST,011NSETEST,DUMMYSAN005,NSE,Unknown
021NSETEST,021NSETEST,DUMMYSAN006,NSE,Unknown
031NSETEST,031NSETEST,DUMMYSAN007,NSE,Unknown
041NSETEST,041NSETEST,DUMMYSAN008,NSE,Unknown
051NSETEST,051NSETEST,DUMMYSAN009,NSE,Unknown
061NSETEST,061NSETEST,DUMMYSAN010,NSE,Unknown
071NSETEST,071NSETEST,DUMMYSAN011,NSE,Unknown
081NSETEST,081NSETEST,DUMMYSAN012,NSE,Unknown
091NSETEST,091NSETEST,DUMMYSAN013,NSE,Unknown
101NSETEST,101NSETEST,DUMMYSAN014,NSE,Unknown
111NSETEST,111NSETEST,DUMMYSAN015,NSE,Unknown
121NSETEST,121NSETEST,DUMMYSAN016,NSE,Unknown
131NSETEST,131NSETEST,DUMMYSAN017,NSE,Unknown
141NSETEST,141NSETEST,DUMMYSAN018,NSE,Unknown
151NSETEST,151NSETEST,DUMMYSAN019,NSE,Unknown
161NSETEST,161NSETEST,DUMMYSAN020,NSE,Unknown
171NSETEST,171NSETEST,DUMMYSAN021,NSE,Unknown
181NSETEST,181NSETEST,DUMMYSAN022,NSE,Unknown
1018GS2026,1018GOI2026,IN0020010081,NSE,Unknown
824GS2027,824GOI2027,IN0020060078,NSE,Unknown
826GS2027,8.26% CENTRAL GOVT 2027,IN0020070036,NSE,Unknown
897GS2030,897GOI2030,IN0020110055,NSE,Unknown
833GS2026,833GOI2026,IN0020120039,NSE,Unknown
SGBOCT25,SOVEREIGN GOLD BOND 2017 SERIE,IN0020170059,NSE,Unknown
SGBOCT25IV,SOVEREIGN GOLD BOND 2017 SERIE,IN0020170067,NSE,Unknown
SGBDEC2513,SOVEREIGN GOLD BOND 2017 SERIE,IN0020170158,NSE,Unknown
SGBNOV26,SOVEREIGN GOLD BOND 2019 SERIE,IN0020180314,NSE,Unknown
SGBJUL27,SOVEREIGN GOLD BOND 2019-20 SE,IN0020190081,NSE,Unknown
645GS2029,645GOI2029,IN0020190362,NSE,Unknown
SGBDC27VII,Sovereign Gold Bonds 2019-20 S,IN0020190461,NSE,Unknown
716GS2050,716GOI2050,IN0020200054,NSE,Unknown
SGBAPR28I,Sovereign Gold Bonds 2020-21 S,IN0020200062,NSE,Unknown
SGBMAY28,Sovereign Gold Bonds 2020-21 S,IN0020200088,NSE,Unknown
SGBJUN28,Sovereign Gold Bonds 2020-21 S,IN0020200104,NSE,Unknown
SGBJUL28IV,Sovereign Gold Bond 2020-21 IV,IN0020200146,NSE,Unknown
SGBAUG28V,Sovereign Gold Bonds 2020-21 V,IN0020200161,NSE,Unknown
676GS2061,676GOI2061,IN0020200401,NSE,Unknown
SGBMR29XII,SGB 2020-21 Series XII,IN0020200427,NSE,Unknown
SGBMAY29I,SGB 2021-22 Series I,IN0020210053,NSE,Unknown
SGBJUN29II,SGB 2021-22 Series II,IN0020210061,NSE,Unknown
SGBJU29III,Sovereign Gold Bonds 2021-22,IN0020210087,NSE,Unknown
